Date,usdzar_rate,95LRP-Coastal,95ULP-Coastal,Diesel0.05-Coastal,Diesel0.005-Coastal,IP-Coastal,LPG-Coastal,93LRP-Gauteng,93ULP-Gauteng,95ULP-Gauteng,Diesel0.05-Gauteng,Diesel0.005-Gauteng,IP-Gauteng,LPG-Gauteng,fmg_ppi,img_ppi,we_ppi,m_ppi,aaf_ppi,headline_cpi,food_non_alc_cpi,alc_tob_cpi,cloth_foot_cpi,house_utils_cpi,house_cont_services_cpi,health_cpi,transport_cpi,comms_cpi,recreat_cult_cpi,edu_cpi,rest_hotel_cpi,misc_cpi
2022-01-01,15.495348,1889.0,1889.0,1663.18,1666.58,1014.79,3259.0,1936.0,1936.0,1961.0,1724.68,1728.08,1096.69,3500.0,111.0,123.9,114.8,111.0,108.5,100.2,100.9,100.0,100.2,100.0,100.4,100.1,98.9,99.8,100.2,100.0,101.2,100.6
2022-02-01,15.215175,1942.0,1942.0,1743.02,1745.42,1115.79,3134.0,1989.0,1989.0,2014.0,1804.52,1806.92,1197.69,3376.0,112.2,124.5,114.9,115.4,107.4,100.8,101.8,100.6,100.3,100.1,100.4,103.2,100.6,99.7,100.3,100.0,101.9,101.5
2022-03-01,14.984636,2088.0,2088.0,1887.38,1893.78,1236.79,3204.0,2135.0,2135.0,2160.0,1948.88,1955.28,1318.69,3446.0,115.0,125.0,114.6,120.4,111.6,101.8,102.4,102.8,100.5,100.5,100.8,103.7,103.7,99.7,100.4,104.4,103.0,101.9
2022-04-01,14.983344,2124.0,2124.0,2039.94,2062.34,1502.79,3454.0,2163.0,2163.0,2196.0,2101.44,2123.84,1584.69,3696.0,117.1,127.1,118.7,123.7,114.0,102.4,103.1,103.6,100.7,100.5,101.1,104.0,105.1,99.6,100.7,104.4,103.3,102.8
2022-05-01,15.904071,2109.0,2109.0,2134.24,2150.64,1585.89,3523.0,2151.0,2151.0,2184.0,2199.44,2215.84,1664.29,3765.0,119.2,129.8,120.7,127.8,115.2,103.1,105.3,104.4,100.9,100.6,101.8,104.3,105.9,99.9,101.0,104.4,103.8,102.9
2022-06-01,15.7773,2352.0,2352.0,2244.24,2257.64,1741.89,3472.0,2394.0,2394.0,2417.0,2309.44,2322.84,1820.29,3714.0,121.7,130.7,165.4,129.8,114.3,104.2,106.6,104.5,101.3,101.2,103.0,104.6,110.3,100.3,101.2,104.4,104.2,103.0
2022-07-01,16.847705,2609.0,2609.0,2475.24,2487.64,1907.088,3255.0,2631.0,2631.0,2674.0,2540.44,2552.84,1986.288,3496.0,124.4,131.2,172.4,131.3,115.2,105.8,107.8,104.4,101.6,103.1,103.3,104.1,115.6,99.4,102.3,104.4,104.6,103.4
2022-08-01,16.688518,2477.0,2477.0,2387.24,2396.64,1763.088,3311.0,2499.0,2499.0,2542.0,2452.44,2461.84,1842.288,3553.0,123.8,132.0,175.0,127.1,115.2,106.0,109.7,104.7,102.1,103.2,103.7,104.2,114.5,100.1,102.4,104.4,104.3,103.5
2022-09-01,17.555955,2273.0,2273.0,2330.9,2350.3,1681.088,3146.0,2295.0,2295.0,2338.0,2396.1,2415.5,1760.288,3388.0,124.7,134.5,128.8,136.5,118.2,106.1,110.3,105.6,102.5,103.7,104.5,104.0,112.0,99.9,102.5,104.4,106.2,103.8
2022-10-01,18.12479,2171.0,2171.0,2340.9,2365.3,1620.088,3166.0,2206.0,2206.0,2236.0,2406.1,2430.5,1699.288,3407.0,125.2,133.1,126.5,134.5,122.2,106.5,111.3,106.1,102.6,103.8,105.0,104.5,111.7,99.8,102.7,104.4,107.4,104.7
2022-11-01,17.490095,2222.0,2222.0,2483.76,2509.16,1697.088,3068.0,2257.0,2257.0,2287.0,2548.96,2574.36,1776.288,3309.0,125.8,132.5,126.5,130.6,126.0,106.8,111.9,106.4,102.6,103.8,105.2,104.7,113.1,99.2,102.8,104.4,108.0,104.7
2022-12-01,17.283295,2281.0,2281.0,2326.57,2356.97,1639.758,3146.0,2316.0,2316.0,2346.0,2391.77,2422.17,1718.958,3404.0,125.8,133.0,126.7,134.8,125.7,107.2,112.4,106.2,102.8,104.1,106.1,104.8,113.9,99.1,103.4,104.4,107.8,104.9
2023-01-01,17.08911,2075.0,2075.0,2057.67,2076.07,1446.758,3227.0,2110.0,2110.0,2140.0,2122.87,2141.27,1525.958,3486.0,125.1,130.8,126.1,133.1,121.2,107.1,114.4,106.5,102.9,104.1,106.6,104.9,109.9,99.4,103.4,104.4,106.8,105.4
2023-02-01,17.895115,2103.0,2103.0,2066.83,2075.23,1504.758,3087.0,2138.0,2138.0,2168.0,2132.03,2140.43,1583.958,3346.0,125.9,130.7,127.8,137.9,122.7,107.9,115.6,106.9,103.5,104.1,106.6,108.5,110.6,99.8,103.3,104.4,108.8,107.7
2023-03-01,18.271323,2230.0,2230.0,2097.21,2106.61,1517.758,3610.0,2265.0,2265.0,2295.0,2162.41,2171.81,1596.958,3868.0,127.2,131.3,126.2,141.0,120.0,109.0,116.7,109.2,103.4,104.5,107.8,109.1,112.9,99.7,104.2,110.4,109.6,107.9
2023-04-01,18.177906,2225.0,2225.0,2016.63,2025.03,1379.558,3517.0,2264.0,2264.0,2297.0,2088.83,2097.23,1472.058,3776.0,127.2,132.9,134.3,136.7,120.8,109.4,117.4,110.2,103.7,104.6,107.7,109.6,113.1,99.8,104.9,110.4,108.6,109.3
2023-05-01,19.065941,2262.0,2262.0,1943.09,1977.49,1346.558,3073.0,2301.0,2301.0,2334.0,2015.29,2049.69,1439.058,3332.0,127.9,135.5,139.4,137.0,120.4,109.6,117.7,110.6,104.1,104.6,107.5,110.3,113.3,99.7,104.8,110.4,110.4,109.4
2023-06-01,18.766214,2191.0,2191.0,1859.09,1897.49,1303.558,3148.0,2230.0,2230.0,2263.0,1931.29,1969.69,1396.058,3407.0,127.5,133.8,187.9,133.4,121.4,109.8,118.3,110.9,104.3,105.4,107.7,110.8,112.3,99.6,105.3,110.4,110.0,109.6
2023-07-01,18.196067,2174.0,2174.0,1877.09,1909.49,1299.558,2853.0,2206.0,2206.0,2246.0,1949.29,1981.69,1392.058,3111.0,127.8,131.1,203.9,130.7,122.7,110.8,118.5,111.5,104.5,108.4,108.2,110.6,112.6,99.5,105.5,110.4,110.0,109.9
2023-08-01,18.757573,2211.0,2211.0,1949.09,1980.49,1370.56,2691.0,2243.0,2243.0,2283.0,2021.29,2052.69,1463.06,2950.0,129.1,131.4,206.3,130.6,122.5,111.1,118.5,111.2,104.6,108.9,108.1,110.7,113.6,99.5,105.8,110.4,111.0,109.9
2023-09-01,18.977805,2382.0,2382.0,2233.09,2256.49,1648.558,2917.0,2414.0,2414.0,2454.0,2305.29,2328.69,1741.058,3176.0,131.1,130.6,149.9,129.9,128.0,111.8,119.2,111.1,104.8,109.4,108.8,110.8,116.7,99.5,106.3,110.4,110.7,110.0
2023-10-01,19.053027,2496.0,2496.0,2429.79,2450.19,1799.558,3167.0,2522.0,2522.0,2568.0,2501.99,2522.39,1892.058,3426.0,132.4,129.2,146.9,131.5,136.9,112.8,121.0,111.6,105.0,109.4,109.1,111.2,120.0,99.5,106.3,110.4,114.2,110.2
